Chromosome	start	end	name	strand	description
chr3	2081189	2081206	LOC128247254	-	uncharacterized LOC128247254
chr3	2276862	2276883	LOC106867637	+	carboxylesterase 5A-like
chr3	11767837	11767858	LOC106883284	-	regulating synaptic membrane exocytosis protein 1
chr3	11767837	11767858	LOC128247400	+	uncharacterized LOC128247400
chr3	11883792	11883813	LOC106883285	+	DNA mismatch repair protein Mlh3
chr3	16917440	16917491	LOC106873508	+	F-box-like/WD repeat-containing protein TBL1X
chr3	28377131	28377159	LOC128247272	+	uncharacterized LOC128247272
chr3	29194060	29194097	LOC106876729	+	uncharacterized LOC106876729
chr3	29194114	29194143	LOC106876729	+	uncharacterized LOC106876729
chr3	29876574	29876594	LOC106867285	-	uncharacterized LOC106867285
chr3	32224585	32224606	LOC106877468	-	peroxisomal ATPase PEX6
chr3	35158674	35158713	LOC106877508	+	uncharacterized LOC106877508
chr3	35433825	35433868	LOC106876244	-	carbohydrate sulfotransferase 11
chr3	35433931	35433954	LOC106876244	-	carbohydrate sulfotransferase 11
chr3	35433983	35434003	LOC106876244	-	carbohydrate sulfotransferase 11
chr3	35477409	35477432	LOC106876249	-	hydroxymethylglutaryl-CoA lyase, mitochondrial
chr3	42082291	42082318	Trnal-uaa	-	transfer RNA leucine (anticodon UAA)
chr3	43365131	43365158	LOC106868450	-	general transcription factor 3C polypeptide 6-like
chr3	45101403	45101420	LOC106868697	-	circumsporozoite protein-like
chr3	47260653	47260683	LOC106875854	-	protein usf
chr3	47283748	47283778	LOC106875853	-	phosducin-like protein 3
chr3	47283748	47283778	LOC106881731	+	uncharacterized LOC106881731
chr3	47283813	47283856	LOC106875853	-	phosducin-like protein 3
chr3	47283813	47283856	LOC106881731	+	uncharacterized LOC106881731
chr3	47283867	47283890	LOC106875853	-	phosducin-like protein 3
chr3	47283867	47283890	LOC106881731	+	uncharacterized LOC106881731
chr3	47636964	47636972	LOC128247407	+	uncharacterized LOC128247407
chr3	53825662	53825701	LOC106880479	-	sodium-coupled monocarboxylate transporter 1
chr3	62533669	62533687	LOC106878994	-	sigma intracellular receptor 2
chr3	68564543	68564566	LOC106872085	+	uncharacterized protein C05D11.1
chr3	71741722	71741739	LOC106868052	-	ras-related protein Rab-20
chr3	81065729	81065758	LOC128247303	+	uncharacterized LOC128247303
chr3	81066527	81066544	LOC128247303	+	uncharacterized LOC128247303
chr3	83050486	83050561	LOC106882790	-	uncharacterized LOC106882790
chr3	83050573	83050596	LOC106882790	-	uncharacterized LOC106882790
chr3	83050606	83050632	LOC106882790	-	uncharacterized LOC106882790
chr3	86797382	86797410	LOC128247429	-	uncharacterized protein DDB_G0271670-like
chr3	94194551	94194573	LOC106882165	+	PSME3-interacting protein
chr3	99835384	99835413	LOC106875715	+	casein kinase I-like
chr3	99835563	99835585	LOC106875715	+	casein kinase I-like
chr3	101252608	101252640	LOC106870336	+	myeloid leukemia factor 1
chr3	101546653	101546700	LOC106875921	+	general transcription factor IIH subunit 2
chr3	114230529	114230550	Trnag-ucc	+	transfer RNA glycine (anticodon UCC)
chr3	117821493	117821516	LOC106867207	-	uncharacterized LOC106867207
chr3	117821527	117821582	LOC106867207	-	uncharacterized LOC106867207
chr3	119445175	119445202	LOC106876646	+	transcription termination factor 3, mitochondrial
chr3	119905159	119905180	LOC106878122	+	histone deacetylase 6
chr3	130381767	130381795	LOC106877717	+	uncharacterized LOC106877717
chr3	147224401	147224421	LOC106884088	+	sulfotransferase 1C4
chr3	157557288	157557313	LOC106883939	+	peroxisomal acyl-coenzyme A oxidase 1
chr3	157557348	157557403	LOC106883939	+	peroxisomal acyl-coenzyme A oxidase 1
chr3	161416089	161416108	Trnag-gcc	+	transfer RNA glycine (anticodon GCC)
chr3	161636827	161636848	LOC106867194	+	E3 ubiquitin-protein ligase RNF217
chr3	165977122	165977146	LOC106867349	+	splicing factor 3A subunit 2
chr4	1465690	1465707	LOC106869040	-	uncharacterized LOC106869040
chr4	1697950	1697981	LOC106869036	+	thioredoxin, mitochondrial
chr4	9945885	9945920	LOC106875045	-	synaptic vesicular amine transporter
chr4	11305589	11305622	LOC106872182	-	deaminated glutathione amidase
chr4	11305630	11305651	LOC106872182	-	deaminated glutathione amidase
chr4	11426786	11426809	LOC106872187	+	formylglycine-generating enzyme
chr4	11644199	11644219	LOC128247553	+	uncharacterized LOC128247553
chr4	16970248	16970313	LOC106875194	+	mitochondrial nicotinamide adenine dinucleotide transporter SLC25A51
chr4	16970248	16970313	LOC106875195	+	dnaJ homolog subfamily C member 27
chr4	18808245	18808270	LOC128247557	-	uncharacterized LOC128247557
chr4	20349634	20349660	LOC106881587	-	E3 ubiquitin-protein ligase RNF14
chr4	20349634	20349660	LOC106881596	+	nuclear RNA export factor 1
chr4	20763713	20763732	LOC106876307	-	sprouty-related, EVH1 domain-containing protein 2
chr4	21061077	21061103	LOC106876310	+	uncharacterized LOC106876310
chr4	21438489	21438511	LOC106883817	-	NADP-dependent oxidoreductase domain-containing protein 1
chr4	23485572	23485599	LOC106882808	+	chitobiosyldiphosphodolichol beta-mannosyltransferase
chr4	24906338	24906389	LOC106881119	-	failed axon connections homolog
chr4	26290733	26290758	LOC106868014	-	motor neuron and pancreas homeobox protein 1
chr4	41754720	41754741	LOC128247673	-	uncharacterized LOC128247673
chr4	51137652	51137676	LOC106870195	-	uncharacterized LOC106870195
chr4	51137695	51137720	LOC106870195	-	uncharacterized LOC106870195
chr4	54432939	54432959	LOC128247585	+	uncharacterized LOC128247585
chr4	71947030	71947049	LOC128247681	+	uncharacterized LOC128247681
chr4	73559075	73559132	LOC106870899	-	dnaJ homolog subfamily B member 13
chr4	74925195	74925216	LOC128247683	+	uncharacterized LOC128247683
chr4	88968229	88968253	LOC106877314	+	uncharacterized LOC106877314
chr4	91528668	91528687	LOC106871945	-	uncharacterized LOC106871945
chr4	92995130	92995171	LOC128247608	-	uncharacterized LOC128247608
chr4	93159005	93159027	LOC128247657	+	piggyBac transposable element-derived protein 4-like
chr4	93159996	93160016	LOC128247657	+	piggyBac transposable element-derived protein 4-like
chr4	101658801	101658826	LOC106878790	-	cilia- and flagella-associated protein 54
chr4	107192980	107193001	LOC106875438	+	uncharacterized LOC106875438
chr4	108727309	108727344	LOC128247663	-	uncharacterized protein DDB_G0271670-like
chr4	114274491	114274519	LOC128247621	+	uncharacterized LOC128247621
chr4	118952427	118952455	LOC106874852	-	synaptotagmin-1
chr4	120484094	120484123	LOC106876926	+	titin
chr4	120999732	120999763	LOC106868135	+	von Willebrand factor A domain-containing protein 2
chr4	125476578	125476611	LOC106871551	+	solute carrier organic anion transporter family member 2A1
chr4	126309631	126309646	LOC106874002	+	mitochondrial inner membrane protease subunit 2
chr4	136344997	136345014	Trnay-gua	-	transfer RNA tyrosine (anticodon GUA)
chr4	137662026	137662049	LOC106876987	+	uncharacterized LOC106876987
chr4	137806234	137806264	LOC128247717	+	U6 spliceosomal RNA
chr4	138757237	138757261	LOC106872722	+	uncharacterized LOC106872722
chr4	140331110	140331133	Trnay-gua	+	transfer RNA tyrosine (anticodon GUA)
chr4	144128978	144128997	LOC106876479	-	protein deltex-like
chr4	144761531	144761565	LOC106881915	-	uncharacterized LOC106881915
chr4	146430054	146430075	LOC106884256	-	rho GTPase-activating protein 18
chr5	534130	534155	LOC106868193	-	uncharacterized LOC106868193
chr5	3380399	3380422	LOC106867826	-	SET and MYND domain-containing protein 4
chr5	3592020	3592050	LOC106867831	+	uncharacterized LOC106867831
chr5	7575237	7575258	LOC106868705	+	mitochondrial import inner membrane translocase subunit Tim23
chr5	9285400	9285421	LOC106877297	-	short-chain dehydrogenase/reductase family 9C member 7
chr5	10858792	10858811	LOC106884350	-	uncharacterized LOC106884350
chr5	14894849	14894882	LOC106880592	-	zinc finger CCHC domain-containing protein 9
chr5	15022822	15022842	Trnaa-agc	+	transfer RNA alanine (anticodon AGC)
chr5	15553568	15553603	LOC106869677	-	N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase
chr5	16110946	16110969	LOC106874494	+	uncharacterized LOC106874494
chr5	17904136	17904160	LOC106868587	-	transcriptional adapter 3
chr5	18415061	18415109	LOC106871757	+	actin-like protein 6B
chr5	18794994	18795039	LOC106871751	-	DENN domain-containing protein 2B
chr5	21526466	21526523	LOC106875789	-	cytoskeleton-associated protein 5
chr5	21641392	21641417	LOC106875808	-	nucleolin
chr5	21745079	21745110	LOC106875791	-	peroxisomal ATPase PEX1
chr5	22355883	22355928	LOC106883085	+	lysosomal alpha-mannosidase
chr5	22951352	22951373	LOC128247847	+	snaclec bitiscetin subunit alpha-like
chr5	27146121	27146154	LOC128247968	-	5S ribosomal RNA
chr5	30395692	30395719	LOC106872868	-	cystathionine beta-synthase
chr5	41060857	41060892	LOC106869139	-	WD repeat-containing protein on Y chromosome
chr5	42710357	42710380	LOC106879332	-	protein N-terminal asparagine amidohydrolase
chr5	50133541	50133557	LOC106883232	-	tRNA wybutosine-synthesizing protein 2 homolog
chr5	51760810	51760831	LOC106875702	-	F-actin-capping protein subunit alpha-2
chr5	52746946	52746970	LOC106870476	-	uncharacterized LOC106870476
chr5	55931925	55931956	LOC128247926	-	uncharacterized LOC128247926
chr5	59979221	59979256	LOC106872502	+	serine/threonine-protein kinase SIK1
chr5	59979292	59979315	LOC106872502	+	serine/threonine-protein kinase SIK1
chr5	62758808	62758845	LOC106869162	+	adapter molecule Crk
chr5	63314887	63314986	LOC106870414	+	tropomyosin Tod p 1.0102
chr5	63315038	63315082	LOC106870414	+	tropomyosin Tod p 1.0102
chr5	64916067	64916096	LOC128247870	-	piggyBac transposable element-derived protein 4-like
chr5	65430520	65430585	LOC106884092	-	uridine 5'-monophosphate synthase
chr5	65430674	65430758	LOC106884092	-	uridine 5'-monophosphate synthase
chr5	66950238	66950265	LOC106878024	-	histone-lysine N-methyltransferase SETMAR-like
chr5	76988048	76988079	LOC106879041	+	sphingosine-1-phosphate lyase 1
chr5	81460349	81460380	LOC106883808	+	uncharacterized LOC106883808
chr5	95769108	95769141	LOC128247813	+	uncharacterized LOC128247813
chr5	106061539	106061560	LOC106881109	-	uncharacterized LOC106881109
chr5	107136692	107136713	LOC106879589	-	E3 ubiquitin-protein ligase CHIP
chr5	107169615	107169634	LOC106879590	-	cysteine desulfurase
chr5	108158836	108158857	LOC106871273	-	gelsolin-like protein 2
chr5	117907992	117908011	LOC128247975	+	5S ribosomal RNA
chr5	126854388	126854412	LOC106878810	-	transmembrane protein 115
chr6	3615737	3615762	LOC106882966	-	dnaJ homolog subfamily B member 12
chr6	3615813	3615858	LOC106882966	-	dnaJ homolog subfamily B member 12
chr6	9497827	9497847	LOC128248096	-	uncharacterized LOC128248096
chr6	10062117	10062137	LOC128248097	+	uncharacterized LOC128248097
chr6	10062935	10062965	LOC128248097	+	uncharacterized LOC128248097
chr6	11218981	11219005	LOC106870445	+	zinc finger protein 665
chr6	11755122	11755142	LOC106879293	+	Na(+)/H(+) exchange regulatory cofactor NHE-RF3
chr6	12884303	12884323	LOC128248101	-	uncharacterized LOC128248101
chr6	13221447	13221468	LOC106882363	-	tubulin alpha-3 chain
chr6	20233227	20233252	LOC106875711	+	alpha-actinin, sarcomeric
chr6	25125546	25125580	LOC106869476	-	retinochrome
chr6	26679062	26679101	LOC106880735	-	forkhead box protein J1-B
chr6	27828389	27828411	LOC106869332	+	nonsense-mediated mRNA decay factor SMG5
chr6	38148710	38148735	LOC106881836	-	centromere protein M
chr6	44154198	44154216	LOC106871559	-	uncharacterized LOC106871559
chr6	54548360	54548382	LOC106883771	-	visual system homeobox 2-like
chr6	55246630	55246659	Trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)
chr6	61818575	61818596	LOC128248143	-	uncharacterized LOC128248143
chr6	62227364	62227382	LOC128248146	-	uncharacterized LOC128248146
chr6	72385375	72385402	LOC106873536	+	rab11 family-interacting protein 4A
chr6	80318732	80318753	LOC106882567	-	RNA polymerase I-specific transcription initiation factor RRN3
chr6	82980765	82980786	LOC106871467	-	zinc finger protein 708
chr6	82980765	82980786	LOC106871459	+	zinc finger protein 91
chr6	89286431	89286461	LOC128248050	+	uncharacterized LOC128248050
chr6	91199367	91199386	LOC106869821	-	selenoprotein N-like
chr6	94929846	94929881	LOC106877767	-	homeobox protein Mix.2
chr6	95728008	95728025	LOC106882824	-	cell cycle checkpoint protein RAD1
chr6	95728008	95728025	LOC106882825	+	N-alpha-acetyltransferase 20
chr6	96773124	96773145	LOC106879975	-	zinc finger protein 708-like
chr6	104018377	104018394	LOC106872968	+	uncharacterized LOC106872968
chr6	106711254	106711275	LOC128248185	-	U6 spliceosomal RNA
chr6	106748984	106748999	LOC128248170	+	uncharacterized LOC128248170
chr6	107253558	107253585	LOC128248179	-	uncharacterized LOC128248179
chr6	114905648	114905668	LOC106872074	-	polymerase delta-interacting protein 2
chr6	114905648	114905668	LOC106872075	+	SRR1-like protein
chr6	115298184	115298206	LOC106872065	-	uncharacterized LOC106872065
chr7	384569	384602	LOC106872245	+	CD151 antigen
chr7	4616175	4616194	LOC128248317	-	troponin I-like
chr7	8728895	8728910	LOC106877291	+	uncharacterized LOC106877291
chr7	11824685	11824705	LOC106882388	+	ATP-dependent DNA helicase Q1
chr7	14025493	14025522	LOC128248305	-	uncharacterized LOC128248305
chr7	14197930	14197981	LOC106871135	+	uncharacterized LOC106871135
chr7	15742014	15742034	LOC128248324	-	ATP-binding cassette sub-family D member 3-like
chr7	16404139	16404162	LOC106873375	+	gamma-interferon-inducible lysosomal thiol reductase
chr7	18966273	18966294	LOC106881365	-	zinc finger protein 239-like
chr7	19097530	19097587	LOC106881372	-	protein THEM6
chr7	19413114	19413138	LOC106872893	+	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2
chr7	19950187	19950274	LOC106872890	+	exosome complex component RRP45-like
chr7	21438155	21438174	LOC106878214	+	uncharacterized LOC106878214
chr7	21957077	21957103	LOC106879533	-	TBC1 domain family member 1
chr7	23536423	23536445	LOC106878875	-	zinc finger protein 665
chr7	23997559	23997585	LOC106881341	-	uncharacterized LOC106881341
chr7	24249330	24249355	LOC106881339	+	zinc finger protein 737
chr7	24335901	24335927	LOC106871976	+	zinc finger protein 239
chr7	24349992	24350018	LOC106871970	+	zinc finger protein 239-like
chr7	30055804	30055833	LOC106883194	-	uncharacterized LOC106883194
chr7	42616268	42616289	LOC106881870	-	gamma-interferon-inducible lysosomal thiol reductase
chr7	48138951	48138975	LOC106873263	-	nuclear factor NF-kappa-B p105 subunit
chr7	48139558	48139581	LOC106873263	-	nuclear factor NF-kappa-B p105 subunit
chr7	51075042	51075060	LOC106884047	+	tigger transposable element-derived protein 6-like
chr7	59540477	59540512	LOC106867690	-	low molecular weight phosphotyrosine protein phosphatase
chr7	59608638	59608653	LOC106867695	-	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta
chr7	86813419	86813439	LOC128248429	-	5S ribosomal RNA
chr7	104479745	104479794	LOC106868924	+	GS homeobox 1
chr7	104666089	104666117	LOC106876456	+	homeobox protein abdominal-A
chr7	104666595	104666621	LOC106876456	+	homeobox protein abdominal-A
chr7	109460661	109460681	LOC106881575	-	zinc finger protein 98
chr7	110482312	110482333	LOC106867167	-	beta-1,3-galactosyltransferase 1
chr8	926979	927024	LOC106872567	-	uncharacterized LOC106872567
chr8	1908384	1908449	LOC106878296	+	chitotriosidase-1
chr8	5348533	5348560	LOC106878899	+	integrator complex subunit 6
chr8	5465835	5465874	LOC106878893	+	mediator of RNA polymerase II transcription subunit 28
chr8	5465933	5465953	LOC106878893	+	mediator of RNA polymerase II transcription subunit 28
chr8	13395798	13395826	LOC106879194	+	small glutamine-rich tetratricopeptide repeat-containing protein beta
chr8	13831478	13831511	LOC106869491	-	uncharacterized LOC106869491
chr8	15115810	15115839	LOC106868643	+	zinc finger protein 62
chr8	15456178	15456204	LOC106867492	-	p21-activated protein kinase-interacting protein 1-like
chr8	15659991	15660012	LOC106869242	-	calumenin-A
chr8	21466101	21466145	LOC128248508	+	uncharacterized LOC128248508
chr8	30699195	30699216	LOC128248512	-	uncharacterized LOC128248512
chr8	39325722	39325753	LOC106884437	-	very low-density lipoprotein receptor
chr8	57404351	57404380	LOC106880843	+	uncharacterized LOC106880843
chr8	57404399	57404442	LOC106880843	+	uncharacterized LOC106880843
chr8	57404511	57404534	LOC106880843	+	uncharacterized LOC106880843
chr8	81208497	81208518	LOC106877634	-	uncharacterized LOC106877634
chr8	85041972	85042003	LOC106868781	-	hillarin
chr8	85042044	85042072	LOC106868781	-	hillarin
chr8	85243840	85243865	LOC106880036	-	intraflagellar transport protein 74 homolog
chr8	86068371	86068404	LOC106876543	+	zinc finger protein 227
chr8	86762420	86762443	Trnam-cau	+	transfer RNA methionine (anticodon CAU)
chr8	86762420	86762443	Trnam-cau	+	transfer RNA methionine (anticodon CAU)
chr8	91124566	91124587	LOC106874582	+	serine protease/ABC transporter B family protein tagB
chr8	91348401	91348424	LOC106874583	+	putative mediator of RNA polymerase II transcription subunit 26
chr8	92294961	92294994	LOC128248604	+	carbonic anhydrase 2-like
chr8	92835250	92835301	LOC106874573	+	medium-chain acyl-CoA ligase ACSF2, mitochondrial
chr8	95066092	95066121	LOC106878676	-	silk gland factor 3
chr8	95842929	95842953	LOC106868263	-	uncharacterized LOC106868263
chr8	96342509	96342556	LOC128248533	-	uncharacterized LOC128248533
chr8	96342615	96342658	LOC128248533	-	uncharacterized LOC128248533
chr9	772788	772808	LOC106879486	+	ankyrin repeat and MYND domain-containing protein 2
chr9	5684124	5684154	LOC106878202	+	uncharacterized LOC106878202
chr9	7149185	7149206	LOC106873983	-	putative uncharacterized protein DDB_G0282133
chr9	10970924	10970951	Trnai-aau	-	transfer RNA isoleucine (anticodon AAU)
chr9	17637347	17637382	LOC128248701	-	fibropellin-1-like
chr9	18695986	18696007	LOC128248675	-	transmembrane protein 229B-like
chr9	20071444	20071468	LOC128248706	-	uncharacterized LOC128248706
chr9	29372594	29372623	LOC106869710	-	phosphatase and actin regulator 1
chr9	29486767	29486785	LOC106873317	+	glyoxylate reductase/hydroxypyruvate reductase
chr9	30942267	30942315	LOC106871348	+	uncharacterized LOC106871348
chr9	32905322	32905374	LOC106884391	+	polypeptide N-acetylgalactosaminyltransferase 13
chr9	32905395	32905416	LOC106884391	+	polypeptide N-acetylgalactosaminyltransferase 13
chr9	33501421	33501462	LOC106875105	-	uncharacterized LOC106875105
chr9	34951664	34951706	LOC106874295	+	presenilins-associated rhomboid-like protein, mitochondrial
chr9	41113708	41113725	LOC106872661	+	uncharacterized LOC106872661
chr9	42551237	42551267	LOC106870299	+	uncharacterized LOC106870299
chr9	67134165	67134196	LOC106870598	-	ribonucleases P/MRP protein subunit POP1
chr9	69112444	69112471	LOC106868047	-	glyoxylate/hydroxypyruvate reductase A
chr9	69112480	69112501	LOC106868047	-	glyoxylate/hydroxypyruvate reductase A
chr9	70448774	70448797	LOC106883644	+	meckelin
chr9	70448820	70448851	LOC106883644	+	meckelin
chr9	75552985	75553005	LOC106869763	-	uncharacterized LOC106869763
chr9	86193233	86193252	LOC106882753	+	SH3 domain-binding protein 5-like
chr9	88569225	88569255	LOC106872454	-	tubulin alpha-4 chain
chr10	3161848	3161879	LOC106871020	-	uncharacterized LOC106871020
chr10	6217647	6217676	LOC106882331	+	zinc finger protein 271
chr10	6217699	6217720	LOC106882331	+	zinc finger protein 271
chr10	6482489	6482531	LOC106881389	-	vesicular inhibitory amino acid transporter
chr10	17277320	17277341	LOC106883983	-	D-3-phosphoglycerate dehydrogenase
chr10	23062587	23062618	LOC106873980	-	UDP-glucose:glycoprotein glucosyltransferase 1
chr10	24849352	24849375	Trnae-uuc	+	transfer RNA glutamic acid (anticodon UUC)
chr10	25192171	25192198	LOC106880784	-	microtubule-actin cross-linking factor 1, isoforms 1/2/3/4
chr10	25309720	25309742	LOC106880762	-	plectin
chr10	25667299	25667321	LOC106880774	-	eukaryotic translation initiation factor 2 subunit 1
chr10	26361169	26361188	LOC106877481	-	heparan sulfate glucosamine 3-O-sulfotransferase 5
chr10	26361274	26361301	LOC106877481	-	heparan sulfate glucosamine 3-O-sulfotransferase 5
chr10	45353302	45353329	LOC106881980	+	RWD domain-containing protein 3
chr10	51461417	51461439	LOC106877848	+	uncharacterized LOC106877848
chr10	51520272	51520301	LOC106877849	-	uncharacterized LOC106877849
chr10	53529189	53529214	LOC106872759	+	uncharacterized LOC106872759
chr10	54405572	54405599	LOC106883569	-	zinc finger protein 239
chr10	55211999	55212026	LOC106872589	-	myosin-VIIa
chr10	55212308	55212329	LOC106872589	-	myosin-VIIa
chr10	62101370	62101403	LOC106884059	-	zinc finger protein 836
chr10	69318535	69318568	LOC106867517	+	epidermal growth factor receptor
chr10	76701711	76701732	LOC106882182	-	succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
chr10	76886861	76886879	LOC106880792	-	SCO-spondin
chr10	76994678	76994757	LOC128246986	-	SCO-spondin-like
chr10	79256663	79256687	LOC106869537	-	dickkopf-related protein 3
chr10	79257005	79257027	LOC106869537	-	dickkopf-related protein 3
chr10	79491159	79491180	LOC106883344	-	T-box transcription factor T homolog 1
chr10	79667101	79667128	LOC106876613	+	histone H2A
chr10	85552501	85552524	LOC106884267	-	rab effector MyRIP
chr10	85552583	85552587	LOC106884267	-	rab effector MyRIP
chr10	91987687	91987726	LOC106879026	-	transcription factor MafK
chr10	92866044	92866060	LOC106876566	-	HEAT repeat-containing protein 1
chr10	93481800	93481832	LOC106877200	-	ubiquitin carboxyl-terminal hydrolase 46
chr11	189886	189901	LOC106881191	+	uncharacterized LOC106881191
chr11	995350	995379	LOC106882544	+	rho guanine nucleotide exchange factor 39
chr11	2179727	2179747	LOC106876549	+	3'(2'),5'-bisphosphate nucleotidase 1
chr11	6350840	6350855	LOC106877175	-	5'-3' exonuclease PLD3
chr11	6546054	6546079	LOC106877153	+	uncharacterized LOC106877153
chr11	8797154	8797176	LOC106883245	+	uncharacterized LOC106883245
chr11	15984135	15984192	LOC106869717	+	FYVE, RhoGEF and PH domain-containing protein 6
chr11	15984611	15984644	LOC106869717	+	FYVE, RhoGEF and PH domain-containing protein 6
chr11	15984653	15984722	LOC106869717	+	FYVE, RhoGEF and PH domain-containing protein 6
chr11	16792251	16792294	LOC106873114	+	protein dispatched homolog 1
chr11	17176149	17176166	LOC106875622	-	3-oxo-5-alpha-steroid 4-dehydrogenase 1
chr11	18368338	18368361	LOC128249054	+	uncharacterized LOC128249054
chr11	18894538	18894581	LOC106878908	-	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
chr11	21257084	21257110	LOC106869215	+	organic anion transporter 3-like
chr11	21342816	21342843	LOC106869319	+	organic anion transporter 3
chr11	23092803	23092823	LOC106879940	-	mediator of RNA polymerase II transcription subunit 6
chr11	26923490	26923522	LOC128249110	+	uncharacterized LOC128249110
chr11	33991746	33991773	LOC106879494	-	2-aminoethylphosphonate--pyruvate transaminase
chr11	43704819	43704840	LOC106879839	+	probable RNA-binding protein EIF1AD
chr11	51442427	51442445	LOC128249118	-	hemagglutinin/proteinase-like
chr11	52652013	52652036	LOC106875974	+	uncharacterized LOC106875974
chr11	52958499	52958521	LOC106873189	+	uncharacterized LOC106873189
chr11	55285754	55285779	LOC106870695	-	uncharacterized LOC106870695
chr11	59588329	59588356	LOC106877916	-	uncharacterized LOC106877916
chr11	65889208	65889231	LOC106879364	-	uncharacterized LOC106879364
chr11	66605398	66605427	LOC106883698	-	UDP-glucuronosyltransferase 2B37
chr11	77706262	77706282	LOC106868589	+	uncharacterized LOC106868589
chr11	78376074	78376100	LOC106868588	+	vesicle transport through interaction with t-SNAREs homolog 1B
chr11	80266191	80266214	LOC106878522	+	copine-8
chr11	80266325	80266352	LOC106878522	+	copine-8
chr12	343947	343992	LOC106880142	+	nephrocystin-4
chr12	7840650	7840701	LOC106870417	-	lisH domain-containing protein ARMC9
